,company,weight,OS,ram,processor,processor_speed,screen_size,screen_type,touch_screen,price,height_resolution,width_resolution
2889,Dell,1.44,Windows,16.0,Intel Core i7,2400.0,14.0,LCD,0.0,4595.0,1920.0,1080.0
2890,Dell,1.44,Windows,16.0,Intel Core i7,2400.0,14.0,LED,0.0,4401.0,1920.0,1080.0
2892,Dell,1.44,Windows,16.0,Intel Core i5,3200.0,14.0,LED,0.0,3781.0,1920.0,1080.0
2893,Dell,1.57,Windows,16.0,Intel Core i7,3300.0,15.6,LED,0.0,4858.0,1920.0,1080.0
2894,Dell,1.44,Windows,16.0,Intel Core i7,2400.0,14.0,LED,0.0,4989.0,1920.0,1080.0
2897,Huawei,1.38,Windows,8.0,Intel Core i5,1600.0,14.0,LCD,0.0,3390.0,1920.0,1080.0
2898,HP,1.69,Windows,8.0,AMD Ryzen 3,2600.0,15.6,LCD,0.0,1599.0,1920.0,1080.0
2899,Asus,1.65,Windows,16.0,Intel Core i7,3500.0,15.6,OLED,0.0,4789.0,1920.0,1080.0
2900,Asus,1.65,Windows,16.0,Intel Core i7,3500.0,15.6,OLED,0.0,5325.0,1920.0,1080.0
2901,Asus,1.65,Windows,16.0,Intel Core i7,3500.0,15.6,OLED,0.0,5089.0,1920.0,1080.0
2902,Asus,1.17,Windows,16.0,Intel Core i7,2800.0,14.0,LCD,0.0,4623.0,1920.0,1080.0
2903,Asus,1.17,Windows,16.0,Intel Core i5,2400.0,14.0,LCD,0.0,3790.0,1920.0,1080.0
2904,Lenovo,1.43,Windows,8.0,Intel Core i7,2800.0,14.0,IPS,1.0,4300.0,1920.0,1080.0
2905,Acer,2.7,Windows,16.0,AMD Ryzen 7,3200.0,17.3,LED,0.0,6387.0,1920.0,1080.0
2906,Lenovo,1.5,Windows,8.0,AMD Ryzen 5,2100.0,14.0,IPS,1.0,2848.0,1920.0,1080.0
2907,Dell,1.32,Windows,16.0,Intel Core i7,2800.0,13.4,LED,1.0,10789.0,3840.0,2400.0
2908,Asus,1.6,Windows,8.0,Intel Celeron,1100.0,14.0,LED,0.0,1290.0,1920.0,1080.0
2909,Asus,1.8,Windows,16.0,AMD Ryzen 7,2400.0,15.6,LED,0.0,2990.0,1920.0,1080.0
2911,Lenovo,1.9,Windows,16.0,AMD Ryzen 7,3200.0,16.0,IPS,0.0,4950.0,2560.0,1600.0
2912,Asus,2.14,Windows,16.0,Intel Core i5,2400.0,15.6,LCD,0.0,3490.0,1920.0,1080.0
2913,Lenovo,1.9,Windows,16.0,AMD Ryzen 7,3200.0,16.0,IPS,0.0,4948.0,2560.0,1600.0
